seed,K,update,eval_return_mean,eval_return_sem,rm_loss,rm_pref_acc
0,50,0,0.9666666666666667,0.016455241616498053,0.0036458116956055164,1.0
0,50,10,0.9916666666666667,0.008333333333333333,0.0036458116956055164,1.0
0,50,20,1.0,0.0,0.0036458116956055164,1.0
0,50,30,0.7583333333333333,0.03924325011691262,0.0036458116956055164,1.0
0,50,40,0.15833333333333333,0.033464378262738896,0.0036458116956055164,1.0
0,50,50,0.13333333333333333,0.03116175682952018,0.0036458116956055164,1.0
0,50,60,0.058333333333333334,0.02148490882432463,0.0036458116956055164,1.0
0,50,70,0.06666666666666667,0.02286647801900118,0.0036458116956055164,1.0
0,50,80,0.041666666666666664,0.0183180481225887,0.0036458116956055164,1.0
0,50,90,0.008333333333333333,0.008333333333333333,0.0036458116956055164,1.0
0,50,100,0.016666666666666666,0.011735491270876315,0.0036458116956055164,1.0
0,100,0,0.975,0.01431195069769,0.004128265660256147,1.0
0,100,10,1.0,0.0,0.004128265660256147,1.0
0,100,20,0.9916666666666667,0.008333333333333333,0.004128265660256147,1.0
0,100,30,0.975,0.01431195069769,0.004128265660256147,1.0
0,100,40,0.44166666666666665,0.04552192400253557,0.004128265660256147,1.0
0,100,50,0.2833333333333333,0.04130797993547017,0.004128265660256147,1.0
0,100,60,0.14166666666666666,0.03196600376689893,0.004128265660256147,1.0
0,100,70,0.2,0.03666793988112846,0.004128265660256147,1.0
0,100,80,0.1,0.027500954910846337,0.004128265660256147,1.0
0,100,90,0.08333333333333333,0.025336208004377508,0.004128265660256147,1.0
0,100,100,0.03333333333333333,0.016455241616498053,0.004128265660256147,1.0
0,200,0,0.9833333333333333,0.011735491270876319,0.004194964189082384,1.0
0,200,10,0.9833333333333333,0.011735491270876315,0.004194964189082384,1.0
0,200,20,0.9666666666666667,0.016455241616498056,0.004194964189082384,1.0
0,200,30,0.49166666666666664,0.04582855844748355,0.004194964189082384,1.0
0,200,40,0.2833333333333333,0.041307979935470175,0.004194964189082384,1.0
0,200,50,0.15,0.032732683535398856,0.004194964189082384,1.0
0,200,60,0.058333333333333334,0.021484908824324633,0.004194964189082384,1.0
0,200,70,0.03333333333333333,0.016455241616498053,0.004194964189082384,1.0
0,200,80,0.03333333333333333,0.016455241616498053,0.004194964189082384,1.0
0,200,90,0.041666666666666664,0.0183180481225887,0.004194964189082384,1.0
0,200,100,0.03333333333333333,0.016455241616498056,0.004194964189082384,1.0
0,500,0,0.9833333333333333,0.011735491270876315,0.00427792826667428,1.0
0,500,10,1.0,0.0,0.00427792826667428,1.0
0,500,20,0.9916666666666667,0.008333333333333333,0.00427792826667428,1.0
0,500,30,0.9416666666666667,0.02148490882432463,0.00427792826667428,1.0
0,500,40,0.15,0.032732683535398856,0.00427792826667428,1.0
0,500,50,0.08333333333333333,0.025336208004377508,0.00427792826667428,1.0
0,500,60,0.03333333333333333,0.016455241616498053,0.00427792826667428,1.0
0,500,70,0.03333333333333333,0.016455241616498053,0.00427792826667428,1.0
0,500,80,0.041666666666666664,0.018318048122588703,0.00427792826667428,1.0
0,500,90,0.025,0.01431195069769,0.00427792826667428,1.0
0,500,100,0.03333333333333333,0.016455241616498056,0.00427792826667428,1.0
1,50,0,0.975,0.01431195069769,0.003948746714740992,1.0
