experiment,seed,K,beta,epoch,dpo_eval_loss,preference_accuracy,dpo_margin,stochastic_return_mean,stochastic_return_sem
main,0,500,5.0,40,0.0007227773894555867,1.0,10.434718132019043,1.0,0.0
main,0,500,5.0,50,0.0006003407761454582,1.0,10.620837211608887,0.9916666666666667,0.008333333333333333
main,0,500,5.0,60,0.0005350105930119753,1.0,10.713891983032227,0.9916666666666667,0.008333333333333333
main,0,500,5.0,70,0.0004919630009680986,1.0,10.770859718322754,1.0,0.0
main,0,500,5.0,80,0.0004590519820339978,1.0,10.814234733581543,1.0,0.0
main,0,500,5.0,90,0.00043153847218491137,1.0,10.852689743041992,1.0,0.0
main,0,500,5.0,100,0.00040740484837442636,1.0,10.889479637145996,0.9916666666666667,0.008333333333333333
main,0,500,5.0,110,0.0003856996481772512,1.0,10.925782203674316,1.0,0.0
main,0,500,5.0,120,0.0003659141075331718,1.0,10.9619779586792,1.0,0.0
main,0,500,5.0,130,0.00034773792140185833,1.0,10.99815559387207,1.0,0.0
main,0,500,5.0,140,0.00033095499384216964,1.0,11.034295082092285,1.0,0.0
main,0,500,5.0,150,0.0003154001897200942,1.0,11.070348739624023,1.0,0.0
main,1,50,5.0,0,0.6931471824645996,0.0,0.0,0.975,0.01431195069769
main,1,50,5.0,10,0.009387771598994732,1.0,5.766475677490234,0.9833333333333333,0.011735491270876319
main,1,50,5.0,20,0.0015020737191662192,1.0,8.128655433654785,0.975,0.014311950697689996
main,1,50,5.0,30,0.0006985195796005428,1.0,9.101614952087402,1.0,0.0
main,1,50,5.0,40,0.0005006774445064366,1.0,9.514497756958008,1.0,0.0
main,1,50,5.0,50,0.0004285915056243539,1.0,9.698779106140137,1.0,0.0
main,1,50,5.0,60,0.00039408280281350017,1.0,9.791458129882812,0.9916666666666667,0.008333333333333333
main,1,50,5.0,70,0.0003726164868567139,1.0,9.848440170288086,1.0,0.0
main,1,50,5.0,80,0.00035601112176664174,1.0,9.892026901245117,0.9916666666666667,0.008333333333333333
main,1,50,5.0,90,0.00034137500915676355,1.0,9.93088150024414,1.0,0.0
main,1,50,5.0,100,0.00032769361860118806,1.0,9.968235969543457,1.0,0.0
main,1,50,5.0,110,0.0003146260278299451,1.0,10.005233764648438,0.9833333333333333,0.011735491270876315
main,1,50,5.0,120,0.0003020732547156513,1.0,10.042213439941406,1.0,0.0
main,1,50,5.0,130,0.0002900171675719321,1.0,10.079216957092285,1.0,0.0
main,1,50,5.0,140,0.0002784580283332616,1.0,10.116203308105469,1.0,0.0
main,1,50,5.0,150,0.0002673971757758409,1.0,10.153097152709961,0.9916666666666667,0.008333333333333333
main,1,100,5.0,0,0.6931471824645996,0.0,0.0,0.9583333333333334,0.0183180481225887
main,1,100,5.0,10,0.008036583662033081,1.0,6.327192306518555,0.9833333333333333,0.011735491270876319
main,1,100,5.0,20,0.0013039428740739822,1.0,8.86556339263916,0.9916666666666667,0.008333333333333333
main,1,100,5.0,30,0.0006121037295088172,1.0,9.907621383666992,0.9916666666666667,0.008333333333333333
main,1,100,5.0,40,0.00044086051639169455,1.0,10.347488403320312,0.9916666666666667,0.008333333333333333
main,1,100,5.0,50,0.0003783171414397657,1.0,10.541821479797363,0.9916666666666667,0.008333333333333333
main,1,100,5.0,60,0.0003483409818727523,1.0,10.637879371643066,0.9916666666666667,0.008333333333333333
main,1,100,5.0,70,0.00032967282459139824,1.0,10.6956787109375,1.0,0.0
main,1,100,5.0,80,0.000315212644636631,1.0,10.739128112792969,1.0,0.0
main,1,100,5.0,90,0.00030245125526562333,1.0,10.777498245239258,1.0,0.0
main,1,100,5.0,100,0.00029050547163933516,1.0,10.81427001953125,0.9916666666666667,0.008333333333333333
main,1,100,5.0,110,0.00027908096672035754,1.0,10.85067367553711,1.0,0.0
main,1,100,5.0,120,0.0002680959296412766,1.0,10.887072563171387,0.9916666666666667,0.008333333333333333
main,1,100,5.0,130,0.0002575328398961574,1.0,10.923541069030762,0.9916666666666667,0.008333333333333333
main,1,100,5.0,140,0.00024739617947489023,1.0,10.96002197265625,1.0,0.0
main,1,100,5.0,150,0.0002376878255745396,1.0,10.996451377868652,0.9916666666666667,0.008333333333333333
main,1,200,5.0,0,0.6931471824645996,0.0,0.0,0.975,0.01431195069769
main,1,200,5.0,10,0.010153694078326225,1.0,6.080662727355957,1.0,0.0
main,1,200,5.0,20,0.001678864355199039,1.0,8.476856231689453,1.0,0.0
main,1,200,5.0,30,0.000763071293476969,1.0,9.453690528869629,1.0,0.0
main,1,200,5.0,40,0.0005346247344277799,1.0,9.864017486572266,0.9916666666666667,0.008333333333333333
main,1,200,5.0,50,0.0004499944334384054,1.0,10.044346809387207,0.9833333333333333,0.011735491270876315
main,1,200,5.0,60,0.0004086644039489329,1.0,10.132923126220703,0.9833333333333333,0.011735491270876315
main,1,200,5.0,70,0.0003827562613878399,1.0,10.185934066772461,1.0,0.0
main,1,200,5.0,80,0.0003629570419434458,1.0,10.225729942321777,1.0,0.0
main,1,200,5.0,90,0.0003459190484136343,1.0,10.26095962524414,1.0,0.0
main,1,200,5.0,100,0.000330400827806443,1.0,10.294875144958496,0.9916666666666667,0.008333333333333333
main,1,200,5.0,110,0.0003159331390634179,1.0,10.328621864318848,0.9916666666666667,0.008333333333333333
main,1,200,5.0,120,0.0003023276221938431,1.0,10.362541198730469,1.0,0.0
main,1,200,5.0,130,0.0002894940844271332,1.0,10.39669418334961,1.0,0.0
main,1,200,5.0,140,0.00027737763593904674,1.0,10.431035041809082,1.0,0.0
main,1,200,5.0,150,0.00026593616348691285,1.0,10.465497016906738,1.0,0.0
main,1,500,5.0,0,0.6931472420692444,0.0,0.0,0.9666666666666667,0.016455241616498056
main,1,500,5.0,10,0.018985653296113014,0.9940000176429749,6.005129337310791,0.9916666666666667,0.008333333333333333
main,1,500,5.0,20,0.0042066122405231,0.9980000257492065,8.220617294311523,0.9916666666666667,0.008333333333333333
main,1,500,5.0,30,0.0012664345558732748,1.0,9.061493873596191,1.0,0.0
